clspcoykvzwvsas-y-at-secas-01-asmbs-001

===============================k get node colorado==========================
NAME                                      STATUS   ROLES           AGE    VERSION
clspcoykvzwvsas-y-at-secas-01-asmbs-001   Ready    control-plane   492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmbs-002   Ready    control-plane   492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmbs-003   Ready    control-plane   492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-001   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-002   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-003   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-004   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-005   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-006   Ready    worker          240d   v1.27.6
===============================k get pods colorado ==========================
NAMESPACE           NAME                                                              READY   STATUS      RESTARTS         AGE
sm-infra            metallb-controller-894dd8f58-529xn                                1/1     Running     3 (420d ago)     459d
sm-infra            metallb-speaker-448j9                                             1/1     Running     7 (413d ago)     459d
sm-infra            metallb-speaker-hjmss                                             1/1     Running     4 (420d ago)     459d
sm-infra            metallb-speaker-jtsnw                                             1/1     Running     4 (420d ago)     459d
sm-infra            metallb-speaker-jxhpw                                             1/1     Running     3 (420d ago)     459d
sm-infra            metallb-speaker-pc4tg                                             1/1     Running     4 (420d ago)     459d
sm-infra            metallb-speaker-qg2cf                                             1/1     Running     4 (420d ago)     459d
sm-infra            metallb-speaker-sf4qw                                             1/1     Running     0                240d
sm-infra            metallb-speaker-w7pnh                                             1/1     Running     6 (420d ago)     459d
sm-infra            metallb-speaker-wt5nz                                             1/1     Running     3 (420d ago)     459d
sm-infra            prometheus-ps-prometheus-0                                        3/3     Running     6 (420d ago)     459d
sm-infra            prometheus-ps-prometheus-1                                        3/3     Running     6 (420d ago)     459d
sm-infra            ps-operator-86766dff6-nrx7d                                       1/1     Running     2 (420d ago)     459d
sm-infra            seaweedfs-filer-0                                                 2/2     Running     12 (6d8h ago)    6d8h
sm-infra            seaweedfs-filer-1                                                 2/2     Running     12 (6d8h ago)    6d8h
sm-infra            seaweedfs-master-0                                                1/1     Running     0                6d8h
sm-infra            seaweedfs-master-1                                                1/1     Running     0                6d8h
sm-infra            seaweedfs-master-2                                                1/1     Running     0                6d8h
sm-infra            seaweedfs-volume-0                                                1/1     Running     0                6d8h
sm-infra            seaweedfs-volume-1                                                1/1     Running     0                6d8h
sm-infra            sm-dockerbridge-649cc96444-xfzvw                                  1/1     Running     0                6d8h
sm-infra            sm-envinjector-85746d9684-ccsh4                                   1/1     Running     0                6d8h
sm-infra            sm-envinjector-85746d9684-sbssh                                   1/1     Running     0                6d8h
sm-infra            sm-envinjector-configure-25jv8                                    0/1     Completed   0                6d8h
sm-infra            sm-envinjector-webhook-759d7d8d4-cp74p                            1/1     Running     0                6d8h
sm-infra            sm-envinjector-webhook-759d7d8d4-pp9f9                            1/1     Running     0                6d8h
sm-infra            sm-infra-elasticsearch-master-0                                   1/1     Running     0                6d5h
sm-infra            sm-infra-elasticsearch-master-1                                   1/1     Running     0                6d5h
sm-infra            sm-infra-filebeat-g585q                                           1/1     Running     3 (289d ago)     459d
sm-infra            sm-infra-filebeat-gfx7m                                           1/1     Running     104 (220d ago)   459d
sm-infra            sm-infra-filebeat-lhsqr                                           1/1     Running     743 (219d ago)   459d
sm-infra            sm-infra-filebeat-nnlq8                                           1/1     Running     5 (220d ago)     459d
sm-infra            sm-infra-filebeat-v648x                                           1/1     Running     10 (14d ago)     240d
sm-infra            sm-infra-filebeat-xt6f9                                           1/1     Running     23 (37h ago)     459d
sm-infra            sm-infra-ingress-nginx-controller-8478b8f49c-tgl82                1/1     Running     0                6d8h
sm-infra            sm-infra-ingress-nginx-controller-8478b8f49c-tjcfh                1/1     Running     0                350d
sm-infra            sm-infra-istio-operator-ff47b44c9-f7rfp                           1/1     Running     283 (157d ago)   459d
sm-infra            sm-infra-jaeger-6f4bcb959-6xkxn                                   1/1     Running     321 (16h ago)    459d
sm-infra            sm-infra-kibana-655dcf7f76-bmhc6                                  1/1     Running     0                6d7h
sm-infra            sm-infra-kibana-655dcf7f76-nlngj                                  1/1     Running     6 (6d8h ago)     6d8h
sm-infra            sm-infra-kube-state-metrics-5ff9fc7b59-blc8w                      1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-logstash-0                                               1/1     Running     19 (311d ago)    459d
sm-infra            sm-infra-logstash-1                                               1/1     Running     11 (311d ago)    459d
sm-infra            sm-infra-metrics-server-84689b4976-cr7c5                          1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-prometheus-node-exporter-2gpc2                           1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-prometheus-node-exporter-2tggv                           1/1     Running     0                240d
sm-infra            sm-infra-prometheus-node-exporter-4kgkn                           1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-prometheus-node-exporter-6l7cj                           1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-prometheus-node-exporter-724cb                           1/1     Running     3 (413d ago)     459d
sm-infra            sm-infra-prometheus-node-exporter-782rw                           1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-prometheus-node-exporter-8xxtc                           1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-prometheus-node-exporter-gjk97                           1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-prometheus-node-exporter-phtcr                           1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-thanos-query-66d4d9cb5d-bggkn                            1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-thanos-query-66d4d9cb5d-nc9pg                            1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-thanos-query-frontend-776956d858-clz67                   1/1     Running     2 (420d ago)     459d
sm-infra            sm-infra-vault-0                                                  2/2     Running     4 (420d ago)     459d
sm-infra            sm-infra-vault-1                                                  2/2     Running     4 (420d ago)     459d
sm-infra            sm-infra-vault-2                                                  2/2     Running     4 (420d ago)     459d
sm-infra            sm-initialization-ns-creator-zqs9z                                0/10    Completed   0                6d8h
sm-infra            sm-secret-operator-f8cd47788-6gkxz                                1/1     Running     0                6d8h
sm-infra            sm-vault-init-config-ptkfk                                        0/1     Completed   0                6d8h
sm-system           sm-system-operators-kiali-operator-65d95c8484-28sln               1/1     Running     2 (420d ago)     456d
sm-system           sm-system-operators-kiali-operator-65d95c8484-sq9cf               1/1     Running     2 (420d ago)     456d
===============================k get mongo vmis count Colorado Springs ==========================
1612235
